LOGISTICAL_AREA,YEAR,MONTH,AREA,METHOD,ITEM,ADIPOSE_MODIFIER,DISPOSITION,RETAINABLE,ITEM_GROUP,ESTIMATE,VARIANCE
Haida Gwaii,2014,6,Area 2W,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,280.69,39138.23
Haida Gwaii,2014,6,Area 2W,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,253.53,17862.50
Haida Gwaii,2014,6,Area 2W,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,2432.08,5772269.99
Prince Rupert,2014,6,Area 3,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,113.83,5449.22
Prince Rupert,2014,6,Area 3,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,1512.49,333763.00
Prince Rupert,2014,6,Area 3,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,1337.26,600819.67
Prince Rupert,2014,6,Area 3,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,237.28,19188.85
Prince Rupert,2014,6,Area 3,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,45.54,1937.33
Prince Rupert,2014,6,Area 4,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,77.74,4066.90
Prince Rupert,2014,6,Area 4,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,1383.93,334835.71
Prince Rupert,2014,6,Area 4,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,19.58,363.74
Prince Rupert,2014,6,Area 4,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,122.08,3884.94
Prince Rupert,2014,6,Area 4,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,153.08,9180.15
Central Coast,2014,6,Area 5,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,15.18,215.26
Central Coast,2014,6,Area 6,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,132.65,3758.99
Central Coast,2014,6,Area 6,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,641.75,66881.96
Central Coast,2014,6,Area 6,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,620.01,116820.08
Central Coast,2014,6,Area 6,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,228.13,13277.99
Central Coast,2014,6,Area 6,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,171.81,9535.56
Central Coast,2014,6,Area 7,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,167.31,7890.74
Central Coast,2014,6,Area 7,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,15.18,215.26
Central Coast,2014,6,Area 9,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,201.74,7111.04
Central Coast,2014,6,Area 9,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,334.85,50996.67
Central Coast,2014,6,Area 9,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,326.16,63543.43
Haida Gwaii,2014,7,Area 1,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,446.20,29340.20
Haida Gwaii,2014,7,Area 1,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,326.56,57947.13
Haida Gwaii,2014,7,Area 1,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,7150.46,1207374.98
Haida Gwaii,2014,7,Area 1,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,7781.19,7014723.34
Haida Gwaii,2014,7,Area 1,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,3071.73,356604.15
Haida Gwaii,2014,7,Area 1,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,2422.23,369753.30
Central Coast,2014,7,Area 10,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,106.79,5741.35
Central Coast,2014,7,Area 10,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,284.31,75145.64
Central Coast,2014,7,Area 10,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,115.20,4225.78
Central Coast,2014,7,Area 10,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,57.60,3087.36
Haida Gwaii,2014,7,Area 101,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,300.74,18120.44
Haida Gwaii,2014,7,Area 101,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,28.43,751.46
Haida Gwaii,2014,7,Area 101,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,527.93,92230.45
Haida Gwaii,2014,7,Area 101,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,1140.47,683734.00
Haida Gwaii,2014,7,Area 102,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,28.80,771.84
Haida Gwaii,2014,7,Area 102,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,32.62,506.54
Haida Gwaii,2014,7,Area 102,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,118.77,13156.44
Prince Rupert,2014,7,Area 103,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,137.31,9918.48
Prince Rupert,2014,7,Area 103,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,42.65,1690.78
Prince Rupert,2014,7,Area 104,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,1316.45,756286.04
Prince Rupert,2014,7,Area 104,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,104.62,4165.41
Prince Rupert,2014,7,Area 104,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,28.43,751.46
Central Coast,2014,7,Area 105,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,54.65,2822.19
Central Coast,2014,7,Area 106,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,57.60,1540.00
Central Coast,2014,7,Area 106,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,300.37,42027.56
Central Coast,2014,7,Area 106,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,142.89,9850.47
Central Coast,2014,7,Area 106,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,54.65,2822.19
Central Coast,2014,7,Area 106,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,18.22,313.58
Central Coast,2014,7,Area 107,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,25.17,608.51
Central Coast,2014,7,Area 107,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,14.85,205.57
Central Coast,2014,7,Area 108,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,14.85,205.57
Central Coast,2014,7,Area 108,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,29.69,409.79
Central Coast,2014,7,Area 108,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,28.43,751.46
Central Coast,2014,7,Area 108,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,113.72,12023.30
Central Coast,2014,7,Area 109,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,14.85,205.57
Central Coast,2014,7,Area 109,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,224.47,28147.32
Central Coast,2014,7,Area 109,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,14.85,205.57
Port Hardy,2014,7,Area 11,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,323.27,32114.99
Port Hardy,2014,7,Area 11,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,54.57,1766.38
Port Hardy,2014,7,Area 11,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,975.29,58352.33
Port Hardy,2014,7,Area 11,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,713.88,137093.46
Port Hardy,2014,7,Area 11,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,14.40,192.96
Port Hardy,2014,7,Area 111,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,92.58,4802.03
Port Hardy,2014,7,Area 111,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,406.02,108027.43
Port Hardy,2014,7,Area 111,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,403.84,31852.36
Port Hardy,2014,7,Area 111,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,377.96,102787.62
Port Hardy,2014,7,Area 111,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,259.41,34417.89
Port Hardy,2014,7,Area 111,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,353.74,119827.08
Port Hardy,2014,7,Area 12,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,683.44,37575.64
Port Hardy,2014,7,Area 12,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,127.90,6156.56
Port Hardy,2014,7,Area 12,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,5128.90,928138.10
Port Hardy,2014,7,Area 12,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,2199.80,585589.56
Port Hardy,2014,7,Area 12,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,444.91,22962.85
Port Hardy,2014,7,Area 12,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,472.41,59511.72
Port Renfrew,2014,7,Area 121,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,822.83,79945.16
Port Renfrew,2014,7,Area 121,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,118.37,7013.38
Port Renfrew,2014,7,Area 121,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,302.39,15180.73
Port Renfrew,2014,7,Area 121,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,888.54,115023.31
Port Renfrew,2014,7,Area 121,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,50.65,1442.17
Port Renfrew,2014,7,Area 121,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,71.08,4696.60
Barkley,2014,7,Area 123,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,1809.49,187651.79
Barkley,2014,7,Area 123,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,452.17,49756.29
Barkley,2014,7,Area 123,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,1852.10,219446.20
Barkley,2014,7,Area 123,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,2203.87,889988.37
Barkley,2014,7,Area 123,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,1129.59,168816.77
Barkley,2014,7,Area 123,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,1395.39,474200.53
Tofino,2014,7,Area 124,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,554.29,30959.73
Tofino,2014,7,Area 124,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,171.89,10405.55
Tofino,2014,7,Area 124,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,1019.27,53828.59
Tofino,2014,7,Area 124,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,522.94,45497.11
Tofino,2014,7,Area 124,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,79.60,1559.47
Tofino,2014,7,Area 124,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,71.63,1714.41
Tahsis/Nootka,2014,7,Area 125,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,1189.59,63045.91
Tahsis/Nootka,2014,7,Area 125,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,197.32,9885.32
Tahsis/Nootka,2014,7,Area 125,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,761.82,44383.64
Tahsis/Nootka,2014,7,Area 125,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,593.85,92699.05
Tahsis/Nootka,2014,7,Area 125,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,399.45,29271.47
Tahsis/Nootka,2014,7,Area 125,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,72.00,4824.00
Kyuquot,2014,7,Area 126,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,629.93,157681.00
Kyuquot,2014,7,Area 126,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,284.33,40397.61
Kyuquot,2014,7,Area 126,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,766.60,156396.11
Kyuquot,2014,7,Area 126,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,1183.69,436547.55
Kyuquot,2014,7,Area 126,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,62.02,2413.26
Kyuquot,2014,7,Area 126,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,281.25,29172.48
Winter Harbour,2014,7,Area 127,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,1434.48,537608.08
Winter Harbour,2014,7,Area 127,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,508.18,101609.75
Winter Harbour,2014,7,Area 127,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,1226.77,283855.95
Winter Harbour,2014,7,Area 127,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,1450.25,379533.71
Winter Harbour,2014,7,Area 127,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,14.85,205.57
Winter Harbour,2014,7,Area 127,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,1743.80,1742632.62
Campbell River,2014,7,Area 13,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,985.06,111493.93
Campbell River,2014,7,Area 13,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,198.94,9633.43
Campbell River,2014,7,Area 13,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,2372.75,352884.94
Campbell River,2014,7,Area 13,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,2179.94,2774989.68
Campbell River,2014,7,Area 13,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,588.02,22904.73
Campbell River,2014,7,Area 13,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,290.46,27627.28
Campbell River,2014,7,Area 14,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,628.12,53570.43
Campbell River,2014,7,Area 14,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,166.83,11414.65
Campbell River,2014,7,Area 14,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,960.78,133593.25
Campbell River,2014,7,Area 14,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,884.54,223235.93
Campbell River,2014,7,Area 14,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,597.64,168997.83
Haida Gwaii,2014,7,Area 142,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,474.53,33974.06
Haida Gwaii,2014,7,Area 142,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,267.63,27511.19
Haida Gwaii,2014,7,Area 142,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,413.44,43240.17
Haida Gwaii,2014,7,Area 142,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,217.75,21647.31
Sunshine Coast,2014,7,Area 15,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,490.98,68914.29
Sunshine Coast,2014,7,Area 15,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,243.59,17946.67
Sunshine Coast,2014,7,Area 15,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,380.12,55908.76
Sunshine Coast,2014,7,Area 15,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,18.22,313.58
Sunshine Coast,2014,7,Area 16,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,64.15,4050.57
Sunshine Coast,2014,7,Area 16,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,203.26,13923.27
Nanaimo,2014,7,Area 17,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,661.78,75708.66
Nanaimo,2014,7,Area 17,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,256.58,64809.17
Nanaimo,2014,7,Area 17,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,919.08,356846.09
Nanaimo,2014,7,Area 17,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,1490.29,657495.00
Nanaimo,2014,7,Area 17,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,82.36,4364.15
Nanaimo,2014,7,Area 18,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,47.17,2130.26
Nanaimo,2014,7,Area 18,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,47.17,2130.26
Nanaimo,2014,7,Area 18,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,47.17,2130.26
Victoria,2014,7,Area 19 (JDF),Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,256.58,32379.39
Victoria,2014,7,Area 19 (JDF),Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,102.68,7364.08
Victoria,2014,7,Area 19 (JDF),Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,817.38,301742.22
Victoria,2014,7,Area 19 (JDF),Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,25.17,608.51
Victoria,2014,7,Area 20,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,2208.31,410189.26
Victoria,2014,7,Area 20,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,87.73,4583.14
Victoria,2014,7,Area 20,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,14.22,187.86
Victoria,2014,7,Area 20,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,5766.05,3345408.81
Victoria,2014,7,Area 20,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,238.11,28802.05
Port Renfrew,2014,7,Area 21,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,340.96,69829.17
Port Renfrew,2014,7,Area 21,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,46.83,694.40
Port Renfrew,2014,7,Area 21,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,2023.52,2705381.68
Port Renfrew,2014,7,Area 21,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,28.62,380.82
Port Renfrew,2014,7,Area 21,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,168.94,28202.00
Port Alberni,2014,7,Area 23 (Alberni Canal),Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,442.28,75439.93
Port Alberni,2014,7,Area 23 (Alberni Canal),Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,235.11,44051.90
Port Alberni,2014,7,Area 23 (Alberni Canal),Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,147.09,10156.46
Barkley,2014,7,Area 23 (Barkley),Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,1688.30,320477.73
Barkley,2014,7,Area 23 (Barkley),Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,128.29,16202.29
Barkley,2014,7,Area 23 (Barkley),Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,3316.85,1604746.74
Barkley,2014,7,Area 23 (Barkley),Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,783.97,169990.66
Barkley,2014,7,Area 23 (Barkley),Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,1737.81,609099.64
Barkley,2014,7,Area 23 (Barkley),Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,1392.38,1624847.36
Tofino,2014,7,Area 24,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,321.85,40481.96
Tofino,2014,7,Area 24,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,192.44,36455.16
Tofino,2014,7,Area 24,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,1026.90,263676.64
Tofino,2014,7,Area 24,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,199.74,18664.91
Tofino,2014,7,Area 24,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,105.92,3015.46
Tahsis/Nootka,2014,7,Area 25,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,1793.14,269819.83
Tahsis/Nootka,2014,7,Area 25,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,622.54,152019.01
Tahsis/Nootka,2014,7,Area 25,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,1965.65,175749.41
Tahsis/Nootka,2014,7,Area 25,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,1922.20,785269.38
Tahsis/Nootka,2014,7,Area 25,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,593.99,62935.65
Tahsis/Nootka,2014,7,Area 25,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,120.95,5612.33
Kyuquot,2014,7,Area 26,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,197.87,14063.51
Kyuquot,2014,7,Area 26,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,113.08,7431.33
Kyuquot,2014,7,Area 26,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,58.49,1594.12
Kyuquot,2014,7,Area 26,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,265.58,28925.10
Kyuquot,2014,7,Area 26,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,29.69,822.28
Winter Harbour,2014,7,Area 27,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,236.76,20210.07
Winter Harbour,2014,7,Area 27,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,199.47,15335.05
Winter Harbour,2014,7,Area 27,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,897.91,61353.41
Winter Harbour,2014,7,Area 27,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,1137.79,181043.20
Winter Harbour,2014,7,Area 27,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,68.45,1565.54
Winter Harbour,2014,7,Area 27,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,397.26,116097.13
Vancouver,2014,7,Area 28,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,164.72,9349.15
Vancouver,2014,7,Area 28,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,128.29,16202.29
Vancouver,2014,7,Area 28,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,72.86,5017.23
Vancouver,2014,7,Area 28,Angling from shore,Coho,Adipose Marked,Kept,Legal Size,SALMON,397.50,112845.15
Lower Fraser River,2014,7,Area 29 (In River),Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,50.35,2434.04
Vancouver,2014,7,Area 29 (Marine),Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,161.08,20296.25
Vancouver,2014,7,Area 29 (Marine),Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,175.91,18422.59
Vancouver,2014,7,Area 29 (Marine),Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,142.87,19982.68
Vancouver,2014,7,Area 29 (Marine),Angling from shore,Coho,Adipose Marked,Kept,Legal Size,SALMON,64.15,4050.57
Vancouver,2014,7,Area 29 (Marine),Angling from shore,Coho,Not Adipose Marked,Released,Unspecified,SALMON,64.15,4050.57
Haida Gwaii,2014,7,Area 2E,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,14.85,205.57
Haida Gwaii,2014,7,Area 2E,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,58.49,1181.63
Haida Gwaii,2014,7,Area 2E,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,148.46,20556.93
Haida Gwaii,2014,7,Area 2E,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,129.94,5600.41
Haida Gwaii,2014,7,Area 2E,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,103.92,10072.90
Haida Gwaii,2014,7,Area 2W,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,201.60,11514.97
Haida Gwaii,2014,7,Area 2W,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,86.40,3851.83
Haida Gwaii,2014,7,Area 2W,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,1430.68,160742.07
Haida Gwaii,2014,7,Area 2W,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,1369.95,470835.22
Haida Gwaii,2014,7,Area 2W,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,743.88,33833.97
Haida Gwaii,2014,7,Area 2W,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,682.26,77716.01
Prince Rupert,2014,7,Area 3,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,308.42,23728.03
Prince Rupert,2014,7,Area 3,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,444.26,147872.28
Prince Rupert,2014,7,Area 3,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,3869.62,1721187.40
Prince Rupert,2014,7,Area 3,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,3788.24,4082246.26
Prince Rupert,2014,7,Area 3,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,488.00,63246.01
Prince Rupert,2014,7,Area 3,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,115.80,5048.91
Prince Rupert,2014,7,Area 4,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,100.77,3258.27
Prince Rupert,2014,7,Area 4,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,59.39,3289.11
Prince Rupert,2014,7,Area 4,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,7975.33,3555545.81
Prince Rupert,2014,7,Area 4,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,6392.08,9206041.16
Prince Rupert,2014,7,Area 4,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,1731.55,552174.40
Prince Rupert,2014,7,Area 4,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,1905.85,3270027.63
Central Coast,2014,7,Area 5,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,233.97,10782.43
Central Coast,2014,7,Area 5,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,145.34,5889.39
Central Coast,2014,7,Area 5,Angling from boat,Coho,Not Checked,Kept,Legal Size,SALMON,350.84,45877.04
Central Coast,2014,7,Area 5,Angling from boat,Coho,Not Checked,Released,Unspecified,SALMON,1671.35,1681233.46
Central Coast,2014,7,Area 6,Angling from boat,Coho,Adipose Marked,Kept,Legal Size,SALMON,466.16,34833.85
Central Coast,2014,7,Area 6,Angling from boat,Coho,Adipose Marked,Released,Unspecified,SALMON,100.43,3254.41
Central Coast,2014,7,Area 6,Angling from boat,Coho,Not Adipose Marked,Kept,Legal Size,SALMON,2278.05,293799.01
Central Coast,2014,7,Area 6,Angling from boat,Coho,Not Adipose Marked,Released,Unspecified,SALMON,923.63,155152.34
