Stock,Recovery Type,Year,Age 2,Age 3,Age 4,Age 5,Age 6,Total,% Age 2,% Age 3,% Age 4,% Age 5,% Age 6
Chehalis R,Catch + Escapement,1997,161,"8,712","41,351",151,,"50,375",0.3,17.3,82.1,0.3,0
Chehalis R,Catch + Escapement,1998,,"42,930","73,739","3,861",,"120,530",0,35.6,61.2,3.2,0
Chehalis R,Catch + Escapement,1999,,"7,007","111,852","2,174",,"121,033",0,5.8,92.4,1.8,0
Chehalis R,Catch + Escapement,2000,,"2,043","23,375","1,135",,"26,553",0,7.7,88,4.3,0
Chehalis R,Catch + Escapement,2001,,"4,840","28,041",478,,"33,359",0,14.5,84.1,1.4,0
Chehalis R,Catch + Escapement,2002,,,"27,453","5,095",,"32,548",0,0,84.3,15.7,0
Chehalis R,Catch + Escapement,2003,,,,342,,342,0,0,0,100,0
Chilliwack R,Catch,1984,,"1,282",412,,,"1,694",0,75.7,24.3,0,0
Chilliwack R,Catch,1985,,"5,312","7,212",,,"12,524",0,42.4,57.6,0,0
Chilliwack R,Catch,1986,,651,"45,488","3,763",,"49,902",0,1.3,91.2,7.5,0
Chilliwack R,Catch,1987,,207,581,"1,730",,"2,518",0,8.2,23.1,68.7,0
Chilliwack R,Catch,1988,,"3,482","49,678","2,310",145,"55,615",0,6.3,89.3,4.2,0.3
Chilliwack R,Catch,1989,,828,"7,481","2,599",13,"10,921",0,7.6,68.5,23.8,0.1
Chilliwack R,Catch,1990,,322,"36,357","2,003",130,"38,812",0,0.8,93.7,5.2,0.3
Chilliwack R,Catch,1991,,517,"3,852","4,786",,"9,155",0,5.6,42.1,52.3,0
Chilliwack R,Catch,1992,,"2,122","21,820","3,495",108,"27,545",0,7.7,79.2,12.7,0.4
Chilliwack R,Catch,1993,,"3,229","37,851","5,387",47,"46,514",0,6.9,81.4,11.6,0.1
Chilliwack R,Catch,1994,,"2,323","36,833","14,669",125,"53,950",0,4.3,68.3,27.2,0.2
Chilliwack R,Catch,1995,,575,"5,510","3,118",127,"9,330",0,6.2,59.1,33.4,1.4
Chilliwack R,Catch,1996,,859,"3,255",860,42,"5,016",0,17.1,64.9,17.1,0.8
Chilliwack R,Catch,1997,,"3,022","15,601",475,,"19,098",0,15.8,81.7,2.5,0
Chilliwack R,Catch,1998,,"19,990","151,993","5,869",155,"178,007",0,11.2,85.4,3.3,0.1
Chilliwack R,Catch,1999,,576,"31,752","5,295",,"37,623",0,1.5,84.4,14.1,0
Chilliwack R,Catch,2000,,345,"9,059","1,058",,"10,462",0,3.3,86.6,10.1,0
Chilliwack R,Catch,2001,,,"29,565","1,231",,"30,796",0,0,96,4,0
Chilliwack R,Catch,2002,,,,"6,859",,"6,859",0,0,0,100,0
Chilliwack R,Escapement,1983,,174,,,,174,0,100,0,0,0
Chilliwack R,Escapement,1984,,"3,323",999,,,"4,322",0,76.9,23.1,0,0
Chilliwack R,Escapement,1985,,"11,787","32,280",9,,"44,076",0,26.7,73.2,0,0
Chilliwack R,Escapement,1986,,572,"33,754","1,309",,"35,635",0,1.6,94.7,3.7,0
Chilliwack R,Escapement,1987,,"3,840","9,378","10,630",,"23,848",0,16.1,39.3,44.6,0
Chilliwack R,Escapement,1988,,"1,846","18,763","1,486",106,"22,201",0,8.3,84.5,6.7,0.5
Chilliwack R,Escapement,1989,,"1,811","17,089","2,133",,"21,033",0,8.6,81.2,10.1,0
Chilliwack R,Escapement,1990,,,"8,469",331,,"8,800",0,0,96.2,3.8,0
Chilliwack R,Escapement,1991,,"1,483","6,876","9,341",,"17,700",0,8.4,38.8,52.8,0
Chilliwack R,Escapement,1992,,"1,683","11,015","3,433",252,"16,383",0,10.3,67.2,21,1.5
Chilliwack R,Escapement,1993,,"1,450","46,123","3,010",8,"50,591",0,2.9,91.2,5.9,0
Chilliwack R,Escapement,1994,,"1,618","36,188","10,783",317,"48,906",0,3.3,74,22,0.6
Chilliwack R,Escapement,1995,,"1,265","11,268","5,574",34,"18,141",0,7,62.1,30.7,0.2
Chilliwack R,Escapement,1996,,"5,501","9,331","1,868",17,"16,717",0,32.9,55.8,11.2,0.1
Chilliwack R,Escapement,1997,,923,"7,795",38,,"8,756",0,10.5,89,0.4,0
Chilliwack R,Escapement,1998,,"9,136","19,574",596,,"29,306",0,31.2,66.8,2,0
Chilliwack R,Escapement,1999,,"2,047","41,564","2,655",,"46,266",0,4.4,89.8,5.7,0
Chilliwack R,Escapement,2000,,59,"2,992",730,,"3,781",0,1.6,79.1,19.3,0
Chilliwack R,Escapement,2001,,,"11,584",173,,"11,757",0,0,98.5,1.5,0
Chilliwack R,Catch + Escapement,1983,,174,,,,174,0,100,0,0,0
Chilliwack R,Catch + Escapement,1984,,"4,605","1,411",,,"6,016",0,76.5,23.5,0,0
Chilliwack R,Catch + Escapement,1985,,"17,099","39,492",9,,"56,600",0,30.2,69.8,0,0
Chilliwack R,Catch + Escapement,1986,,"1,223","79,242","5,072",,"85,537",0,1.4,92.6,5.9,0
Chilliwack R,Catch + Escapement,1987,,"4,047","9,959","12,360",,"26,366",0,15.3,37.8,46.9,0
Chilliwack R,Catch + Escapement,1988,,"5,328","68,441","3,796",251,"77,816",0,6.8,88,4.9,0.3
Chilliwack R,Catch + Escapement,1989,,"2,639","24,570","4,732",13,"31,954",0,8.3,76.9,14.8,0
Chilliwack R,Catch + Escapement,1990,,322,"44,825","2,334",130,"47,611",0,0.7,94.1,4.9,0.3
Chilliwack R,Catch + Escapement,1991,,"2,000","10,728","14,126",,"26,854",0,7.4,39.9,52.6,0
Chilliwack R,Catch + Escapement,1992,,"3,806","32,834","6,928",360,"43,928",0,8.7,74.7,15.8,0.8
Chilliwack R,Catch + Escapement,1993,,"4,679","83,974","8,396",55,"97,104",0,4.8,86.5,8.6,0.1
Chilliwack R,Catch + Escapement,1994,,"3,940","73,021","25,452",442,"102,855",0,3.8,71,24.7,0.4
Chilliwack R,Catch + Escapement,1995,,"1,840","16,778","8,691",162,"27,471",0,6.7,61.1,31.6,0.6
Chilliwack R,Catch + Escapement,1996,,"6,360","12,586","2,728",59,"21,733",0,29.3,57.9,12.6,0.3
Chilliwack R,Catch + Escapement,1997,,"3,944","23,396",513,,"27,853",0,14.2,84,1.8,0
Chilliwack R,Catch + Escapement,1998,,"29,126","171,566","6,465",155,"207,312",0,14,82.8,3.1,0.1
Chilliwack R,Catch + Escapement,1999,,"2,623","73,316","7,950",,"83,889",0,3.1,87.4,9.5,0
Chilliwack R,Catch + Escapement,2000,,403,"12,051","1,788",,"14,242",0,2.8,84.6,12.6,0
Chilliwack R,Catch + Escapement,2001,,,"41,149","1,404",,"42,553",0,0,96.7,3.3,0
Chilliwack R,Catch + Escapement,2002,,,,"6,859",,"6,859",0,0,0,100,0
Conuma R,Catch,1981,,89,,,,89,0,100,0,0,0
Conuma R,Catch,1982,,"2,670","4,753",,,"7,423",0,36,64,0,0
Conuma R,Catch,1984,,"14,817","8,231",133,,"23,181",0,63.9,35.5,0.6,0
Conuma R,Catch,1985,,"8,172","19,854",,,"28,026",0,29.2,70.8,0,0
Conuma R,Catch,1986,,"1,614","22,639","2,838",,"27,091",0,6,83.6,10.5,0
Conuma R,Catch,1987,,296,516,647,,"1,459",0,20.3,35.4,44.3,0
Conuma R,Catch,1988,,,67,,,67,0,0,100,0,0
Conuma R,Catch,1992,,"2,410","15,723","2,270",,"20,403",0,11.8,77.1,11.1,0
Conuma R,Catch,1993,,"4,942","10,254","2,718",,"17,914",0,27.6,57.2,15.2,0
Conuma R,Catch,1994,,"6,111","55,352","5,159",145,"66,767",0,9.2,82.9,7.7,0.2
Conuma R,Catch,1995,,,"1,365","2,484",,"3,849",0,0,35.5,64.5,0
Conuma R,Catch,1997,,"2,913","17,026",15,,"19,954",0,14.6,85.3,0.1,0
Conuma R,Catch,1998,,213,"15,284",812,,"16,309",0,1.3,93.7,5,0
Conuma R,Catch,1999,,"4,827","1,790","2,025",,"8,642",0,55.9,20.7,23.4,0
Conuma R,Catch,2000,,"1,764","2,201",,68,"4,033",0,43.7,54.6,0,1.7
Conuma R,Catch,2001,,"9,258","11,157",20,,"20,435",0,45.3,54.6,0.1,0
Conuma R,Catch,2003,,"5,382","4,800",474,,"10,656",0,50.5,45,4.4,0
Conuma R,Escapement,1981,,155,,,,155,0,100,0,0,0
Conuma R,Escapement,1982,,"2,399","4,394",,,"6,793",0,35.3,64.7,0,0
Conuma R,Escapement,1983,,"13,263","5,416","1,965",,"20,644",0,64.2,26.2,9.5,0
Conuma R,Escapement,1984,,"6,911","10,069",179,,"17,159",0,40.3,58.7,1,0
Conuma R,Escapement,1985,,"10,279","9,073",,,"19,352",0,53.1,46.9,0,0
Conuma R,Escapement,1986,,229,"10,225",360,,"10,814",0,2.1,94.6,3.3,0
Conuma R,Escapement,1987,,"3,168","1,856","4,769",,"9,793",0,32.3,19,48.7,0
Conuma R,Escapement,1988,,128,"8,831",354,162,"9,475",0,1.4,93.2,3.7,1.7
Conuma R,Escapement,1989,,"1,366","12,346","1,895",,"15,607",0,8.8,79.1,12.1,0
Conuma R,Escapement,1990,,,"7,648",232,,"7,880",0,0,97.1,2.9,0
Conuma R,Escapement,1991,,"11,713","8,294","1,253",,"21,260",0,55.1,39,5.9,0
Conuma R,Escapement,1992,,"2,560","19,771",968,,"23,299",0,11,84.9,4.2,0
Conuma R,Escapement,1993,,"11,164","16,824",271,,"28,259",0,39.5,59.5,1,0
Conuma R,Escapement,1994,,775,"26,661","2,647",,"30,083",0,2.6,88.6,8.8,0
Conuma R,Escapement,1995,,19,"8,403","5,965",11,"14,398",0,0.1,58.4,41.4,0.1
Conuma R,Escapement,1996,,"33,841",887,400,208,"35,336",0,95.8,2.5,1.1,0.6
Conuma R,Escapement,1997,,"10,857","50,390",253,,"61,500",0,17.7,81.9,0.4,0
Conuma R,Escapement,1998,,"3,538","252,516","4,780",,"260,834",0,1.4,96.8,1.8,0
Conuma R,Escapement,1999,,"4,834","8,220","9,829",,"22,883",0,21.1,35.9,43,0
Conuma R,Escapement,2000,,"2,585","4,592",536,,"7,713",0,33.5,59.5,6.9,0
Conuma R,Escapement,2001,,"7,094","15,795",615,,"23,504",0,30.2,67.2,2.6,0
Conuma R,Catch + Escapement,1981,,244,,,,244,0,100,0,0,0
Conuma R,Catch + Escapement,1982,,"5,069","9,147",,,"14,216",0,35.7,64.3,0,0
Conuma R,Catch + Escapement,1983,,"13,263","5,416","1,965",,"20,644",0,64.2,26.2,9.5,0
Conuma R,Catch + Escapement,1984,,"21,728","18,300",312,,"40,340",0,53.9,45.4,0.8,0
Conuma R,Catch + Escapement,1985,,"18,451","28,927",,,"47,378",0,38.9,61.1,0,0
Conuma R,Catch + Escapement,1986,,"1,843","32,864","3,198",,"37,905",0,4.9,86.7,8.4,0
Conuma R,Catch + Escapement,1987,,"3,464","2,372","5,416",,"11,252",0,30.8,21.1,48.1,0
Conuma R,Catch + Escapement,1988,,128,"8,898",354,162,"9,542",0,1.3,93.3,3.7,1.7
Conuma R,Catch + Escapement,1989,,"1,366","12,346","1,895",,"15,607",0,8.8,79.1,12.1,0
Conuma R,Catch + Escapement,1990,,,"7,648",232,,"7,880",0,0,97.1,2.9,0
Conuma R,Catch + Escapement,1991,,"11,713","8,294","1,253",,"21,260",0,55.1,39,5.9,0
Conuma R,Catch + Escapement,1992,,"4,970","35,494","3,239",,"43,703",0,11.4,81.2,7.4,0
Conuma R,Catch + Escapement,1993,,"16,106","27,078","2,988",,"46,172",0,34.9,58.6,6.5,0
Conuma R,Catch + Escapement,1994,,"6,886","82,014","7,806",145,"96,851",0,7.1,84.7,8.1,0.1
Conuma R,Catch + Escapement,1995,,19,"9,767","8,449",11,"18,246",0,0.1,53.5,46.3,0.1
Conuma R,Catch + Escapement,1996,,"33,841",887,400,208,"35,336",0,95.8,2.5,1.1,0.6
Conuma R,Catch + Escapement,1997,,"13,770","67,417",268,,"81,455",0,16.9,82.8,0.3,0
Conuma R,Catch + Escapement,1998,,"3,751","267,800","5,592",,"277,143",0,1.4,96.6,2,0
Conuma R,Catch + Escapement,1999,,"9,662","10,011","11,853",,"31,526",0,30.6,31.8,37.6,0
Conuma R,Catch + Escapement,2000,,"4,349","6,793",536,68,"11,746",0,37,57.8,4.6,0.6
Conuma R,Catch + Escapement,2001,,"16,351","26,952",635,,"43,938",0,37.2,61.3,1.4,0
Conuma R,Catch + Escapement,2003,,"5,382","4,800",474,,"10,656",0,50.5,45,4.4,0
Dala R,Catch,1987,,"1,805",,,,"1,805",0,100,0,0,0
Dala R,Catch,1988,,"1,240","5,392",,,"6,632",0,18.7,81.3,0,0
Dala R,Catch,1989,,,178,,,178,0,0,100,0,0
Dala R,Catch,1990,,194,,446,,640,0,30.3,0,69.7,0
Dala R,Catch,1991,,36,346,,,382,0,9.4,90.6,0,0
Dala R,Catch,1992,,181,38,,,219,0,82.6,17.4,0,0
Dala R,Catch,1993,,22,227,,,249,0,8.8,91.2,0,0
Dala R,Catch,1994,,97,117,318,,532,0,18.2,22,59.8,0
Dala R,Catch,1995,,115,42,14,,171,0,67.3,24.6,8.2,0
Dala R,Catch,1996,,,224,,,224,0,0,100,0,0
Dala R,Escapement,1987,,"4,051",,,,"4,051",0,100,0,0,0
Dala R,Escapement,1988,,758,"8,393",,,"9,151",0,8.3,91.7,0,0
Dala R,Escapement,1989,,,"6,935",,,"6,935",0,0,100,0,0
Dala R,Escapement,1990,,442,,655,,"1,097",0,40.3,0,59.7,0
Dala R,Escapement,1991,,102,"1,697",,,"1,799",0,5.7,94.3,0,0
Dala R,Escapement,1992,,597,"6,320",433,,"7,350",0,8.1,86,5.9,0
Dala R,Escapement,1995,,"12,416","4,424",691,,"17,531",0,70.8,25.2,3.9,0
Dala R,Catch + Escapement,1987,,"5,856",,,,"5,856",0,100,0,0,0
Dala R,Catch + Escapement,1988,,"1,998","13,785",,,"15,783",0,12.7,87.3,0,0
Dala R,Catch + Escapement,1989,,,"7,113",,,"7,113",0,0,100,0,0
Dala R,Catch + Escapement,1990,,637,,"1,100",,"1,737",0,36.7,0,63.3,0
Dala R,Catch + Escapement,1991,,138,"2,042",,,"2,180",0,6.3,93.7,0,0
Dala R,Catch + Escapement,1992,,778,"6,358",433,,"7,569",0,10.3,84,5.7,0
Dala R,Catch + Escapement,1993,,22,227,,,249,0,8.8,91.2,0,0
Dala R,Catch + Escapement,1994,,97,117,318,,532,0,18.2,22,59.8,0
Dala R,Catch + Escapement,1995,,"12,532","4,467",705,,"17,704",0,70.8,25.2,4,0
Dala R,Catch + Escapement,1996,,,224,,,224,0,0,100,0,0
Deserted R,Catch,1982,,"3,027",,,,"3,027",0,100,0,0,0
Deserted R,Catch,1984,,"10,375","2,140",307,,"12,822",0,80.9,16.7,2.4,0
Deserted R,Catch,1985,,"7,669","18,535",,,"26,204",0,29.3,70.7,0,0
Deserted R,Catch,1986,,219,"15,748","4,580",,"20,547",0,1.1,76.6,22.3,0
Deserted R,Catch,1987,,,"2,314",380,,"2,694",0,0,85.9,14.1,0
Deserted R,Catch,1992,,"1,776","9,995","1,277",,"13,048",0,13.6,76.6,9.8,0
Deserted R,Catch,1993,,"2,360","26,902","2,775",,"32,037",0,7.4,84,8.7,0
Deserted R,Catch,1994,,"1,953","9,826","3,567",154,"15,500",0,12.6,63.4,23,1
Deserted R,Catch,1995,,,985,209,,"1,194",0,0,82.5,17.5,0
Deserted R,Catch,1997,,"1,202","3,503",,,"4,705",0,25.5,74.5,0,0
Deserted R,Catch,1998,,171,"6,380",114,,"6,665",0,2.6,95.7,1.7,0
Deserted R,Catch,1999,,22,581,564,,"1,167",0,1.9,49.8,48.3,0
Deserted R,Catch,2000,,5,14,19,,38,0,13.2,36.8,50,0
Deserted R,Catch,2001,,"1,382",141,2,,"1,525",0,90.6,9.2,0.1,0
Deserted R,Catch,2003,,195,"1,903",725,,"2,823",0,6.9,67.4,25.7,0
Deserted R,Escapement,1982,,"16,142",,,,"16,142",0,100,0,0,0
Deserted R,Escapement,1983,,"2,993","13,703",,,"16,696",0,17.9,82.1,0,0
Deserted R,Escapement,1984,,"3,492","4,618",719,,"8,829",0,39.6,52.3,8.1,0
Deserted R,Escapement,1985,,"8,388","10,402",,,"18,790",0,44.6,55.4,0,0
Deserted R,Escapement,1986,,,"8,192",667,,"8,859",0,0,92.5,7.5,0
Deserted R,Escapement,1987,,669,"6,234","2,045",,"8,948",0,7.5,69.7,22.9,0
Deserted R,Escapement,1988,,207,"5,314",,112,"5,633",0,3.7,94.3,0,2
Deserted R,Escapement,1989,,564,"4,480",736,,"5,780",0,9.8,77.5,12.7,0
Deserted R,Escapement,1990,,,"2,906",263,,"3,169",0,0,91.7,8.3,0
Deserted R,Escapement,1991,,591,"4,939",333,,"5,863",0,10.1,84.2,5.7,0
Deserted R,Escapement,1992,,"3,324","6,208",652,,"10,184",0,32.6,61,6.4,0
Deserted R,Escapement,1993,,"1,365","11,370",,,"12,735",0,10.7,89.3,0,0
Deserted R,Escapement,1994,,233,"4,025",217,,"4,475",0,5.2,89.9,4.8,0
Deserted R,Escapement,1995,,,"6,886","3,403",134,"10,423",0,0,66.1,32.6,1.3
Deserted R,Escapement,1996,,"2,416",160,184,25,"2,785",0,86.8,5.7,6.6,0.9
Deserted R,Escapement,1997,,645,"4,096",212,,"4,953",0,13,82.7,4.3,0
Deserted R,Escapement,1998,,,"14,907",,,"14,907",0,0,100,0,0
Deserted R,Escapement,1999,,13,217,416,,646,0,2,33.6,64.4,0
Deserted R,Escapement,2000,,26,,,,26,0,100,0,0,0
Deserted R,Escapement,2001,,346,61,,,407,0,85,15,0,0
Deserted R,Catch + Escapement,1982,,"19,169",,,,"19,169",0,100,0,0,0
Deserted R,Catch + Escapement,1983,,"2,993","13,703",,,"16,696",0,17.9,82.1,0,0
Deserted R,Catch + Escapement,1984,,"13,867","6,758","1,026",,"21,651",0,64,31.2,4.7,0
Deserted R,Catch + Escapement,1985,,"16,057","28,937",,,"44,994",0,35.7,64.3,0,0
Deserted R,Catch + Escapement,1986,,219,"23,940","5,247",,"29,406",0,0.7,81.4,17.8,0
Deserted R,Catch + Escapement,1987,,669,"8,548","2,425",,"11,642",0,5.7,73.4,20.8,0
Deserted R,Catch + Escapement,1988,,207,"5,314",,112,"5,633",0,3.7,94.3,0,2
Deserted R,Catch + Escapement,1989,,564,"4,480",736,,"5,780",0,9.8,77.5,12.7,0
Deserted R,Catch + Escapement,1990,,,"2,906",263,,"3,169",0,0,91.7,8.3,0
Deserted R,Catch + Escapement,1991,,591,"4,939",333,,"5,863",0,10.1,84.2,5.7,0
Deserted R,Catch + Escapement,1992,,"5,101","16,203","1,929",,"23,233",0,22,69.7,8.3,0
Deserted R,Catch + Escapement,1993,,"3,725","38,272","2,775",,"44,772",0,8.3,85.5,6.2,0
Deserted R,Catch + Escapement,1994,,"2,186","13,850","3,784",154,"19,974",0,10.9,69.3,18.9,0.8
Deserted R,Catch + Escapement,1995,,,"7,872","3,612",134,"11,618",0,0,67.8,31.1,1.2
Deserted R,Catch + Escapement,1996,,"2,416",160,184,25,"2,785",0,86.8,5.7,6.6,0.9
Deserted R,Catch + Escapement,1997,,"1,847","7,599",212,,"9,658",0,19.1,78.7,2.2,0
Deserted R,Catch + Escapement,1998,,171,"21,287",114,,"21,572",0,0.8,98.7,0.5,0
Deserted R,Catch + Escapement,1999,,35,798,981,,"1,814",0,1.9,44,54.1,0
Deserted R,Catch + Escapement,2000,,31,14,19,,64,0,48.4,21.9,29.7,0
Deserted R,Catch + Escapement,2001,,"1,728",203,2,,"1,933",0,89.4,10.5,0.1,0
Deserted R,Catch + Escapement,2003,,195,"1,903",725,,"2,823",0,6.9,67.4,25.7,0
Fish Cr+Airport Ch,Catch,1983,,952,,,,952,0,100,0,0,0
Fish Cr+Airport Ch,Catch,1984,,"1,746",912,,,"2,658",0,65.7,34.3,0,0
Fish Cr+Airport Ch,Catch,1985,,96,"5,545",122,,"5,763",0,1.7,96.2,2.1,0
Fish Cr+Airport Ch,Catch,1986,,"5,792",465,557,,"6,814",0,85,6.8,8.2,0
Fish Cr+Airport Ch,Catch,1987,,"9,424","34,234",113,39,"43,810",0,21.5,78.1,0.3,0.1
Fish Cr+Airport Ch,Catch,1988,,"8,120","110,978","11,170",3,"130,271",0,6.2,85.2,8.6,0
Fish Cr+Airport Ch,Catch,1989,,"8,348","23,296","7,906",,"39,550",0,21.1,58.9,20,0
Fish Cr+Airport Ch,Catch,1990,,"1,538","22,525","1,978",,"26,041",0,5.9,86.5,7.6,0
Fish Cr+Airport Ch,Catch,1991,,804,"4,832","2,881",,"8,517",0,9.4,56.7,33.8,0
Fish Cr+Airport Ch,Catch,1992,,"1,422","5,549",388,,"7,359",0,19.3,75.4,5.3,0
Fish Cr+Airport Ch,Catch,1993,,"3,244","3,557",753,37,"7,591",0,42.7,46.9,9.9,0.5
Fish Cr+Airport Ch,Catch,1994,,"4,942","11,012","1,035",45,"17,034",0,29,64.6,6.1,0.3
Fish Cr+Airport Ch,Catch,1995,,"9,863","26,712","1,444",35,"38,054",0,25.9,70.2,3.8,0.1
Fish Cr+Airport Ch,Catch,1996,64,"2,883","6,188",512,,"9,647",0.7,29.9,64.1,5.3,0
Fish Cr+Airport Ch,Catch,1997,,"7,788","3,384",61,,"11,233",0,69.3,30.1,0.5,0
Fish Cr+Airport Ch,Catch,1998,,"3,352","17,528",401,,"21,281",0,15.8,82.4,1.9,0
Fish Cr+Airport Ch,Catch,1999,,"1,625","7,479",701,,"9,805",0,16.6,76.3,7.1,0
Fish Cr+Airport Ch,Catch,2000,,292,"2,953",277,,"3,522",0,8.3,83.8,7.9,0
Fish Cr+Airport Ch,Catch,2001,,"11,890","7,898",959,66,"20,813",0,57.1,37.9,4.6,0.3
Fish Cr+Airport Ch,Catch,2002,,"10,088","13,897","1,214",,"25,199",0,40,55.1,4.8,0
Fish Cr+Airport Ch,Catch,2003,,"16,964","33,261",699,,"50,924",0,33.3,65.3,1.4,0
Fish Cr+Airport Ch,Catch,2004,,"6,878","130,983","8,067",,"145,928",0,4.7,89.8,5.5,0
Fish Cr+Airport Ch,Catch,2005,,"2,232","7,730","1,522",,"11,484",0,19.4,67.3,13.3,0
Fish Cr+Airport Ch,Catch,2006,,"5,347","19,514",958,,"25,819",0,20.7,75.6,3.7,0
Fish Cr+Airport Ch,Catch,2007,,,"10,337","1,075",72,"11,484",0,0,90,9.4,0.6
Fish Cr+Airport Ch,Catch,2008,,,,182,,182,0,0,0,100,0
Fish Cr+Airport Ch,Catch,2009,,120,"1,361",,,"1,481",0,8.1,91.9,0,0
Fish Cr+Airport Ch,Catch,2011,,,"2,692",,,"2,692",0,0,100,0,0
Fish Cr+Airport Ch,Catch,2012,,"13,597","2,020","2,454",,"18,071",0,75.2,11.2,13.6,0
Fish Cr+Airport Ch,Catch,2013,,"1,977","43,347","1,462",53,"46,839",0,4.2,92.5,3.1,0.1
Fish Cr+Airport Ch,Catch,2014,,"2,133","2,965",892,,"5,990",0,35.6,49.5,14.9,0
Fish Cr+Airport Ch,Catch,2015,,"5,643","33,808",550,,"40,001",0,14.1,84.5,1.4,0
Fish Cr+Airport Ch,Catch,2016,,"17,884","16,340","1,120",,"35,344",0,50.6,46.2,3.2,0
Fish Cr+Airport Ch,Catch,2017,,"7,021","27,947","2,045",,"37,013",0,19,75.5,5.5,0
Fish Cr+Airport Ch,Catch,2018,,"13,410","24,233","1,657",,"39,300",0,34.1,61.7,4.2,0
Fish Cr+Airport Ch,Escapement,1983,,452,,,,452,0,100,0,0,0
Fish Cr+Airport Ch,Escapement,1984,,,"5,450",,,"5,450",0,0,100,0,0
Fish Cr+Airport Ch,Escapement,1985,,81,"2,882",50,,"3,013",0,2.7,95.7,1.7,0
Fish Cr+Airport Ch,Escapement,1986,,235,151,50,,436,0,53.9,34.6,11.5,0
Fish Cr+Airport Ch,Escapement,1987,,297,"2,284",22,,"2,603",0,11.4,87.7,0.8,0
Fish Cr+Airport Ch,Escapement,1988,,87,"5,049",643,,"5,779",0,1.5,87.4,11.1,0
Fish Cr+Airport Ch,Escapement,1989,,909,"5,675","2,778",,"9,362",0,9.7,60.6,29.7,0
Fish Cr+Airport Ch,Escapement,1990,,62,"1,709",80,,"1,851",0,3.3,92.3,4.3,0
Fish Cr+Airport Ch,Escapement,1991,,456,676,142,,"1,274",0,35.8,53.1,11.1,0
Fish Cr+Airport Ch,Escapement,1992,,876,"4,543",200,80,"5,699",0,15.4,79.7,3.5,1.4
Fish Cr+Airport Ch,Escapement,1993,,302,"2,645",570,,"3,517",0,8.6,75.2,16.2,0
Fish Cr+Airport Ch,Escapement,1994,,634,"2,761",316,,"3,711",0,17.1,74.4,8.5,0
Fish Cr+Airport Ch,Escapement,1995,,890,"3,140",212,17,"4,259",0,20.9,73.7,5,0.4
Fish Cr+Airport Ch,Escapement,1996,,665,"3,226",250,,"4,141",0,16.1,77.9,6,0
Fish Cr+Airport Ch,Escapement,1997,,"1,198","2,213",92,,"3,503",0,34.2,63.2,2.6,0
Fish Cr+Airport Ch,Escapement,1998,,62,"6,730",391,,"7,183",0,0.9,93.7,5.4,0
Fish Cr+Airport Ch,Escapement,1999,,71,"4,294",233,,"4,598",0,1.5,93.4,5.1,0
Fish Cr+Airport Ch,Escapement,2000,,70,"2,347",369,,"2,786",0,2.5,84.2,13.2,0
Fish Cr+Airport Ch,Escapement,2001,,178,"1,918",226,,"2,322",0,7.7,82.6,9.7,0
Fish Cr+Airport Ch,Escapement,2002,,184,"1,547",124,,"1,855",0,9.9,83.4,6.7,0
Fish Cr+Airport Ch,Escapement,2003,,962,"2,787",82,,"3,831",0,25.1,72.7,2.1,0
Fish Cr+Airport Ch,Escapement,2004,,77,"7,513",509,,"8,099",0,1,92.8,6.3,0
Fish Cr+Airport Ch,Escapement,2005,,162,"1,086",422,,"1,670",0,9.7,65,25.3,0
Fish Cr+Airport Ch,Escapement,2006,,291,"1,486",154,,"1,931",0,15.1,77,8,0
Fish Cr+Airport Ch,Escapement,2007,,,"1,576",66,,"1,642",0,0,96,4,0
Fish Cr+Airport Ch,Escapement,2008,,667,,515,,"1,182",0,56.4,0,43.6,0
Fish Cr+Airport Ch,Escapement,2009,,100,"1,744",,,"1,844",0,5.4,94.6,0,0
Fish Cr+Airport Ch,Escapement,2010,,253,563,159,,975,0,25.9,57.7,16.3,0
Fish Cr+Airport Ch,Escapement,2011,,,"4,985",236,,"5,221",0,0,95.5,4.5,0
Fish Cr+Airport Ch,Escapement,2012,,"1,989","2,864","1,214",,"6,067",0,32.8,47.2,20,0
Fish Cr+Airport Ch,Escapement,2013,,173,"9,670",518,,"10,361",0,1.7,93.3,5,0
Fish Cr+Airport Ch,Escapement,2014,,998,882,716,,"2,596",0,38.4,34,27.6,0
Fish Cr+Airport Ch,Escapement,2015,,"1,691","4,857",191,,"6,739",0,25.1,72.1,2.8,0
Fish Cr+Airport Ch,Catch + Escapement,1983,,"1,404",,,,"1,404",0,100,0,0,0
Fish Cr+Airport Ch,Catch + Escapement,1984,,"1,746","6,362",,,"8,108",0,21.5,78.5,0,0
Fish Cr+Airport Ch,Catch + Escapement,1985,,177,"8,427",172,,"8,776",0,2,96,2,0
Fish Cr+Airport Ch,Catch + Escapement,1986,,"6,027",616,607,,"7,250",0,83.1,8.5,8.4,0
Fish Cr+Airport Ch,Catch + Escapement,1987,,"9,721","36,518",135,39,"46,413",0,20.9,78.7,0.3,0.1
Fish Cr+Airport Ch,Catch + Escapement,1988,,"8,207","116,027","11,813",3,"136,050",0,6,85.3,8.7,0
Fish Cr+Airport Ch,Catch + Escapement,1989,,"9,257","28,971","10,684",,"48,912",0,18.9,59.2,21.8,0
