Stock,Year,Statistical Area(s), Expanded Catch , Total Catch By Area ,Enhanced % Catch
L Qualicum R,1994,"12,13","62,544.67","1,267,961",4.9
L Qualicum R,1994,14,"45,247.63","368,839",12.3
L Qualicum R,1995,"12,13","5,407.05","259,087",2.1
L Qualicum R,1995,14,"1,490.81","18,297",8.1
L Qualicum R,1996,"12,13",493.01,"82,167",0.6
L Qualicum R,1997,"12,13",895.23,"97,880",0.9
L Qualicum R,1998,"12,13","43,723.13","1,433,772",3
L Qualicum R,1998,14,"55,758.01","562,617",9.9
L Qualicum R,1999,"12,13",634.04,"40,321",1.6
L Qualicum R,1999,29,312.86,"43,591",0.7
L Qualicum R,2000,"12,13",340.64,"179,650",0.2
L Qualicum R,2001,"12,13",376.9,"183,351",0.2
L Qualicum R,2001,14,524.1,"49,865",1.1
L Qualicum R,2002,"12,13","7,232.68","568,444",1.3
L Qualicum R,2002,14,"3,182.82","191,621",1.7
L Qualicum R,2003,"12,13","8,728.03","829,340",1.1
L Qualicum R,2003,14,"1,324.33","42,057",3.1
L Qualicum R,2004,"12,13","3,030.98","919,381",0.3
L Qualicum R,2004,14,760.22,"98,404",0.8
L Qualicum R,2005,"12,13","7,072.51","809,474",0.9
L Qualicum R,2005,29,358.89,"70,271",0.5
L Qualicum R,2006,"12,13","2,730.90","817,017",0.3
L Qualicum R,2006,14,488.97,"83,920",0.6
L Qualicum R,2006,29,150.7,"181,453",0.1
L Qualicum R,2007,"12,13","1,963.49","441,799",0.4
L Qualicum R,2007,14,191.48,"25,412",0.8
L Qualicum R,2008,"12,13",494.45,"278,654",0.2
L Qualicum R,2009,"12,13","1,469.41","446,011",0.3
L Qualicum R,2010,"12,13",1738.37,"61,310",2.8
L Qualicum R,2011,"12,13","3,837.96","646,517",0.6
L Qualicum R,2011,14,"25,171.20","452,128",5.6
L Qualicum R,2012,"12,13","10,506.57","365,088",2.9
L Qualicum R,2012,14,423.98,"14,070",3
L Qualicum R,2013,"12,13","3,534.79","593,531",0.6
L Qualicum R,2013,14,"1,212.38","30,873",3.9
L Qualicum R,2014,"12,13","3,531.47","345,178",1
L Qualicum R,2016,"12,13","93,161.82","1,309,466",7.1
Lang Cr,2000,"12,13",238.55,"179,650",0.1
Lang Cr,2001,"12,13",94.54,"183,351",0.1
Lang Cr,1998,"12,13",658.95,"1,433,772",0
Lang Cr,1998,14,44.5,"562,617",0
Lang Cr,2000,"12,13","1,309.37","179,650",0.7
Lang Cr,2001,"12,13",538.32,"183,351",0.3
Mathers Cr,1990,"2W,2E","6,888.17","335,736",2.1
Mathers Cr,1991,"2W,2E","5,196.05","308,170",1.7
Mathers Cr,1992,"2W,2E","1,498.72","139,964",1.1
Mathers Cr,1993,"2W,2E","16,372.26","125,247",13.1
Mathers Cr,1994,"2W,2E","6,784.88","139,288",4.9
Mathers Cr,1995,"2W,2E","3,069.56","23,752",12.9
Mathers Cr,1996,"2W,2E","8,734.42","122,945",7.1
Mathers Cr,1997,"2W,2E","7,189.46","51,155",14.1
Mathers Cr,1998,"2W,2E","15,610.40","104,988",14.9
Mathers Cr,1999,"2W,2E","7,888.12","224,417",3.5
Mathers Cr,2000,"2W,2E","9,907.69","113,117",8.8
Mathers Cr,2001,"2W,2E","1,350.09","37,733",3.6
Mathers Cr,2002,"2W,2E","3,947.68","95,909",4.1
McLoughlin Bay Cr,1990,"7,8,9","2,972.15","917,567",0.3
McLoughlin Bay Cr,1991,"7,8,9","9,026.04","379,521",2.4
McLoughlin Bay Cr,1992,"3,4,5",41.42,"240,412",0
McLoughlin Bay Cr,1992,"7,8,9","5,297.13","225,489",2.3
McLoughlin Bay Cr,1992,"9,10",40.08,,
McLoughlin Bay Cr,1993,"2W,2E",57.38,"125,247",0
McLoughlin Bay Cr,1993,"3,4,5",214.82,"647,783",0
McLoughlin Bay Cr,1993,"7,8,9","9,463.22","288,982",3.3
McLoughlin Bay Cr,1994,1,93.31,"13,962",0.7
McLoughlin Bay Cr,1994,"1,2W",33.74,,
McLoughlin Bay Cr,1994,11,65.08,"6,153",1.1
McLoughlin Bay Cr,1994,"12,13",63.86,"1,267,961",0
McLoughlin Bay Cr,1994,"2W,2E",50.72,"139,288",0
McLoughlin Bay Cr,1994,"3,4,5",642.65,"473,697",0.1
McLoughlin Bay Cr,1994,6,49.81,"75,143",0.1
McLoughlin Bay Cr,1994,"7,8,9","16,114.37","694,489",2.3
McLoughlin Bay Cr,1994,"8,9,10",43.44,,
McLoughlin Bay Cr,1995,1,130.35,"23,919",0.5
McLoughlin Bay Cr,1995,"12,13",64.54,"259,087",0
McLoughlin Bay Cr,1995,"3,4,5",419.09,"622,941",0.1
McLoughlin Bay Cr,1995,"7,8,9","6,109.99","928,283",0.7
McLoughlin Bay Cr,1996,"3,4,5",31.36,"398,788",0
McLoughlin Bay Cr,1996,"7,8,9",10.53,"340,698",0
McLoughlin Bay Cr,1999,"7,8,9","3,232.19","264,709",1.2
McLoughlin Bay Cr,2000,"3,4,5",69.95,"107,863",0.1
McLoughlin Bay Cr,2000,"7,8,9","5,068.88","82,058",6.2
McLoughlin Bay Cr,2001,"3,4,5",11.33,"63,375",0
McLoughlin Bay Cr,2001,"7,8,9","10,143.86","454,000",2.2
McLoughlin Bay Cr,2002,"7,8,9",864.38,"574,650",0.2
McLoughlin Bay Cr,2015,"7,8,9","51,979.26","874,823",5.9
McLoughlin Bay Cr,2016,"7,8,9","5,166.19","475,253",1.1
Necleetsconnay R,1990,"3,4,5",30.61,"103,942",0
Necleetsconnay R,1990,"7,8,9","16,884.08","917,567",1.8
Necleetsconnay R,1991,"7,8,9","6,364.59","379,521",1.7
Necleetsconnay R,1992,6,50.62,"42,227",0.1
Necleetsconnay R,1992,"7,8,9","3,260.07","225,489",1.4
Necleetsconnay R,1992,"9,10",267.93,,
Necleetsconnay R,1993,"7,8,9","1,939.69","288,982",0.7
Necleetsconnay R,1994,"7,8,9","4,580.99","694,489",0.7
Necleetsconnay R,1994,"8,9,10",575.69,,
Necleetsconnay R,1995,"7,8,9","10,948.23","928,283",1.2
Necleetsconnay R,1996,"7,8,9",186.6,"340,698",0.1
Nimpkish R Low,1992,"12,13",94.1,"1,346,917",0
Nimpkish R Low,1993,"12,13",714.83,"1,261,372",0.1
Nimpkish R Low,1994,"12,13",48.2,"1,267,961",0
Nimpkish R Low,1994,14,30.88,"368,839",0
Nitinat R,1990,21,"10,946.19","24,530",44.6
Nitinat R,1991,21,"145,060.88","494,722",29.3
Nitinat R,1992,21,"209,073.54","1,075,724",19.4
Nitinat R,1992,"25,26","1,371.44","152,130",0.9
Nitinat R,1993,21,"255,431.50","763,500",33.5
Nitinat R,1993,"25,26","1,035.43","117,096",0.9
Nitinat R,1993,"3,4,5",126.67,"647,783",0
Nitinat R,1994,21,"268,788.73","826,210",32.5
Nitinat R,1994,"25,26","7,596.81","197,947",3.8
Nitinat R,1995,21,"69,145.43","209,202",33.1
Nitinat R,1995,"25,26",182.92,"27,784",0.7
Nitinat R,1996,21,"116,745.42","342,147",34.1
Nitinat R,1997,21,"604,019.20","1,048,721",57.6
Nitinat R,1997,"25,26","1,412.35","89,072",1.6
Nitinat R,1998,21,"423,086.20","695,439",60.8
Nitinat R,1998,"25,26","1,314.82","101,722",1.3
Nitinat R,1999,21,"65,044.42","96,879",67.1
Nitinat R,1999,"25,26","2,030.83","104,245",1.9
Nitinat R,2000,21,"3,121.72","7,094",44
Nitinat R,2001,21,"131,277.46","168,451",77.9
Orford R,1995,"12,13",65.49,"259,087",0
Orford R,1996,"12,13",136.63,"82,167",0.2
Orford R,1996,"3,4,5",3.16,"398,788",0
Orford R,1997,1,176.45,"47,218",0.4
Orford R,1997,"12,13","5,063.52","97,880",5.2
Orford R,1997,"3,4,5",134.47,"187,179",0.1
Orford R,1997,"7,8,9",1.17,"290,439",0
Orford R,1998,"12,13",128.77,"1,433,772",0
Orford R,1999,"12,13",44.85,"40,321",0.1
Pallant Cr,1990,1,114.01,"8,457",1.3
Pallant Cr,1990,"2W,2E","35,878.30","335,736",10.7
Pallant Cr,1991,"2W,2E","41,841.98","308,170",13.6
Pallant Cr,1991,"3,4,5","1,158.02","240,170",0.5
Pallant Cr,1992,1,191.89,"9,102",2.1
Pallant Cr,1992,"2W,2E","112,008.09","139,964",80
Pallant Cr,1992,"3,4,5",659.68,"240,412",0.3
Pallant Cr,1992,"7,8,9",134.71,"225,489",0.1
Pallant Cr,1993,"2W,2E","22,100.83","125,247",17.6
Pallant Cr,1993,"3,4,5","1,708.16","647,783",0.3
Pallant Cr,1994,"2W,2E","36,085.05","139,288",25.9
Pallant Cr,1994,"3,4,5",399.83,"473,697",0.1
Pallant Cr,1995,"2W,2E","4,548.46","23,752",19.1
Pallant Cr,1995,"3,4,5",123.01,"622,941",0
Pallant Cr,1996,"2W,2E","44,757.37","122,945",36.4
Pallant Cr,1997,"2W,2E","24,794.79","51,155",48.5
Pallant Cr,1998,1,27.15,"1,413",1.9
Pallant Cr,1998,"2W,2E","49,599.33","104,988",47.2
Pallant Cr,1999,"2W,2E","54,893.51","224,417",24.5
Pallant Cr,2000,"2W,2E","35,423.77","113,117",31.3
Pallant Cr,2001,"2W,2E","2,899.63","37,733",7.7
Pallant Cr,2002,"2W,2E","8,698.50","95,909",9.1
Puntledge R,1990,"12,13","15,589.07","1,185,359",1.3
Puntledge R,1990,14,"8,988.93","145,566",6.2
Puntledge R,1990,"18,19",4.42,"107,437",0
Puntledge R,1990,29,7.7,"113,510",0
Puntledge R,1991,"12,13",22.63,"230,149",0
Puntledge R,1991,14,"45,169.88","269,140",16.8
Puntledge R,1991,17,67.68,"16,578",0.4
Puntledge R,1991,"18,19",3.21,"154,262",0
Puntledge R,1991,29,5.14,"61,007",0
Puntledge R,1992,"12,13","8,899.12","1,346,917",0.7
Puntledge R,1992,14,"9,763.12","429,110",2.3
Puntledge R,1992,17,57.25,"21,096",0.3
Puntledge R,1992,"18,19",1.4,"84,732",0
Puntledge R,1992,21,202.67,"1,075,724",0
Puntledge R,1992,29,0.59,"50,996",0
Puntledge R,1993,"12,13","20,420.00","1,261,372",1.6
Puntledge R,1993,14,"17,328.83","381,261",4.5
Puntledge R,1993,"15,16",679.29,"119,031",0.6
Puntledge R,1993,17,103.96,"18,021",0.6
Puntledge R,1993,"18,19",720.13,"80,202",0.9
Puntledge R,1993,29,"1,176.18","80,007",1.5
Puntledge R,1994,"12,13","16,803.31","1,267,961",1.3
Puntledge R,1994,14,"10,685.71","368,839",2.9
Puntledge R,1994,29,75.56,"130,782",0.1
Puntledge R,1995,"12,13","2,078.61","259,087",0.8
Puntledge R,1995,14,963.53,"18,297",5.3
Puntledge R,1995,21,169.64,"209,202",0.1
Puntledge R,1997,"12,13",680.2,"97,880",0.7
Puntledge R,1998,"12,13","26,030.26","1,433,772",1.8
Puntledge R,1998,14,"12,361.76","562,617",2.2
Puntledge R,1998,21,652.61,"695,439",0.1
Puntledge R,1999,"12,13",544.34,"40,321",1.4
Puntledge R,2000,"12,13","2,947.80","179,650",1.6
Puntledge R,2001,"12,13",990.44,"183,351",0.5
Puntledge R,2001,14,"1,437.52","49,865",2.9
Puntledge R,2002,"12,13",377.33,"568,444",0.1
Puntledge R,2002,14,"1,332.28","191,621",0.7
Saloompt R,1990,11,44.58,"6,534",0.7
Saloompt R,1990,"3,4,5",13.42,"103,942",0
Saloompt R,1990,6,83.82,"153,292",0.1
Saloompt R,1990,"7,8,9","25,026.44","917,567",2.7
Saloompt R,1991,6,110.21,"50,747",0.2
Saloompt R,1991,"7,8,9","7,984.37","379,521",2.1
Saloompt R,1991,"8,9,10",170.75,,
Saloompt R,1992,"3,4,5",496.37,"240,412",0.2
Saloompt R,1992,"7,8,9","6,387.47","225,489",2.8
Saloompt R,1992,"9,10",663.97,,
Saloompt R,1993,"7,8,9","7,534.16","288,982",2.6
Saloompt R,1994,10,28.08,"19,178",0.1
Saloompt R,1994,6,113.21,"75,143",0.2
Saloompt R,1994,"7,8,9","13,498.90","694,489",1.9
Saloompt R,1994,"8,9,10","1,487.81",,
Saloompt R,1995,6,12.27,"27,811",0
Saloompt R,1995,"7,8,9","37,914.18","928,283",4.1
Saloompt R,1996,6,55.6,"29,748",0.2
Saloompt R,1996,"7,8,9","11,277.46","340,698",3.3
Saloompt R,1997,6,48.26,"11,919",0.4
Saloompt R,1997,"7,8,9","15,086.72","290,439",5.2
Saloompt R,1998,1,9.19,"1,413",0.7
Saloompt R,1998,6,"1,974.76","438,019",0.5
Saloompt R,1998,"7,8,9","23,262.03","741,267",3.1
Saloompt R,1999,"3,4,5",249.63,"144,676",0.2
Saloompt R,1999,"7,8,9","4,497.88","264,709",1.7
Saloompt R,2000,6,82.33,"15,477",0.5
Saloompt R,2000,"7,8,9","3,986.98","82,058",4.9
Saloompt R,2001,"2W,2E",16.12,"37,733",0
Saloompt R,2001,6,178.34,"56,419",0.3
Saloompt R,2001,"7,8,9","28,089.33","454,000",6.2
Saloompt R,2002,11,21.81,"1,489",1.5
Saloompt R,2002,"2W,2E",619.72,"95,909",0.6
Saloompt R,2002,6,199.73,"202,840",0.1
Saloompt R,2002,"7,8,9","26,271.61","574,650",4.6
Saloompt R,2003,"2W,2E",28.19,"5,941",0.5
Saloompt R,2003,"7,8,9","48,513.75","956,368",5.1
Saloompt R,2004,"7,8,9","78,193.41","1,235,642",6.3
Saloompt R,2005,"7,8,9","11,848.39","341,954",3.5
Saloompt R,2006,"7,8,9","26,559.62","380,476",7
Saloompt R,2007,"7,8,9","12,253.04","258,080",4.7
Saloompt R,2008,"7,8,9",273.89,"9,764",2.8
Saloompt R,2009,"7,8,9","1,577.11","44,177",3.6
Saloompt R,2011,"7,8,9","2,855.15","334,737",0.9
Saloompt R,2012,"7,8,9","10,860.35","326,239",3.3
Saloompt R,2013,"7,8,9","23,594.47","547,620",4.3
Saloompt R,2014,"7,8,9","5,618.39","229,560",2.4
Saloompt R,2015,"7,8,9","35,316.72","874,823",4
Saloompt R,2016,"7,8,9","12,888.44","475,253",2.7
Saloompt R,2017,"7,8,9","12,329.26","316,501",3.9
Saloompt R,2018,"7,8,9","23,428.65","452,439",5.2
Sliammon R,1990,"12,13",353.15,"1,185,359",0
Sliammon R,1996,"12,13",77.37,"82,167",0.1
Sliammon R,1997,"12,13","1,367.84","97,880",1.4
Sliammon R,1997,29,273.99,"20,770",1.3
Sliammon R,1998,"12,13","2,409.50","1,433,772",0.2
Sliammon R,1998,14,659.52,"562,617",0.1
Sliammon R,1998,21,61.93,"695,439",0
Sliammon R,1998,29,92.77,"18,951",0.5
Sliammon R,1999,"12,13",22.71,"40,321",0.1
Sliammon R,2000,"12,13",287.06,"179,650",0.2
Sliammon R,2001,"12,13",763.6,"183,351",0.4
Sliammon R,2002,"12,13",495.86,"568,444",0.1
Sliammon R,2003,"12,13","1,821.64","829,340",0.2
Sliammon R,2004,"12,13","1,642.09","919,381",0.2
Sliammon R,2005,"12,13",648.22,"809,474",0.1
Sliammon R,2006,"12,13","1,398.49","817,017",0.2
Sliammon R,2006,14,138.5,"83,920",0.2
Sliammon R,2006,29,967.33,"181,453",0.5
Sliammon R,2007,"12,13",265.75,"441,799",0.1
Sliammon R,2007,14,20.69,"25,412",0.1
Sliammon R,2007,29,107.1,"37,573",0.3
Snootli Cr,1990,11,59.06,"6,534",0.9
Snootli Cr,1990,6,82.4,"153,292",0.1
Snootli Cr,1990,"7,8,9","21,119.16","917,567",2.3
Snootli Cr,1991,6,108.34,"50,747",0.2
Snootli Cr,1991,"7,8,9","7,401.80","379,521",2
Snootli Cr,1991,"8,9,10",123.99,,
Snootli Cr,1992,"3,4,5",522.11,"240,412",0.2
Snootli Cr,1992,"7,8,9","6,609.23","225,489",2.9
Snootli Cr,1992,"9,10",692.27,,
Snootli Cr,1993,"7,8,9","7,763.79","288,982",2.7
Snootli Cr,1994,10,53.93,"19,178",0.3
Snootli Cr,1994,6,119.57,"75,143",0.2
Snootli Cr,1994,"7,8,9","14,846.40","694,489",2.1
Snootli Cr,1994,"8,9,10","1,506.50",,
Snootli Cr,1995,6,16.6,"27,811",0.1
Snootli Cr,1995,"7,8,9","37,386.90","928,283",4
Snootli Cr,1996,"2W,2E",125.64,"122,945",0.1
Snootli Cr,1996,6,45.93,"29,748",0.2
Snootli Cr,1996,"7,8,9","9,817.31","340,698",2.9
Snootli Cr,1997,"7,8,9","9,496.33","290,439",3.3
Snootli Cr,1998,"2W,2E",76.82,"104,988",0.1
Snootli Cr,1998,6,454.31,"438,019",0.1
Snootli Cr,1998,"7,8,9","13,697.93","741,267",1.8
Snootli Cr,1999,"3,4,5",66.34,"144,676",0
Snootli Cr,1999,"7,8,9","4,561.43","264,709",1.7
Snootli Cr,2000,6,86.06,"15,477",0.6
Snootli Cr,2000,"7,8,9","3,310.47","82,058",4
Snootli Cr,2001,"2W,2E",5.92,"37,733",0
Snootli Cr,2001,6,42.62,"56,419",0.1
Snootli Cr,2001,"7,8,9","15,823.54","454,000",3.5
Snootli Cr,2002,11,21.2,"1,489",1.4
Snootli Cr,2002,"2W,2E",602.31,"95,909",0.6
Snootli Cr,2002,"7,8,9","20,861.08","574,650",3.6
Snootli Cr,2003,"2W,2E",109.66,"5,941",1.8
Snootli Cr,2003,"7,8,9","39,320.33","956,368",4.1
Snootli Cr,2004,"7,8,9","70,102.89","1,235,642",5.7
Snootli Cr,2005,"7,8,9","10,349.88","341,954",3
Snootli Cr,2006,"7,8,9","25,517.20","380,476",6.7
Snootli Cr,2007,"7,8,9","9,749.02","258,080",3.8
Snootli Cr,2008,"7,8,9",72.73,"9,764",0.7
Snootli Cr,2009,"7,8,9","1,536.45","44,177",3.5
Snootli Cr,2011,"7,8,9","2,861.98","334,737",0.9
Snootli Cr,2012,"7,8,9","18,105.48","326,239",5.5
Snootli Cr,2013,"7,8,9","48,657.35","547,620",8.9
Snootli Cr,2014,"7,8,9","9,044.16","229,560",3.9
Snootli Cr,2015,"7,8,9","40,168.95","874,823",4.6
Snootli Cr,2016,"7,8,9","28,834.70","475,253",6.1
Snootli Cr,2017,"7,8,9","25,513.06","316,501",8.1
Snootli Cr,2018,"7,8,9","30,327.23","452,439",6.7
Squakum Cr,1990,"12,13",48.66,"1,185,359",0
Stave R,1990,"12,13","23,719.33","1,185,359",2
Stave R,1990,14,"1,196.46","145,566",0.8
Stave R,1990,29,"8,797.46","113,510",7.8
Stave R,1991,"12,13",935.68,"230,149",0.4
Stave R,1991,14,"1,039.86","269,140",0.4
Stave R,1991,"18,19",150.1,"154,262",0.1
Stave R,1991,21,205.33,"494,722",0
Stave R,1991,29,"1,723.13","61,007",2.8
Stave R,1992,"12,13","20,855.91","1,346,917",1.5
Stave R,1992,14,541.92,"429,110",0.1
Stave R,1992,17,345.28,"21,096",1.6
Stave R,1992,21,"1,290.80","1,075,724",0.1
Stave R,1992,29,"6,108.61","50,996",12
Stave R,1993,"12,13","20,469.33","1,261,372",1.6
Stave R,1993,14,857.35,"381,261",0.2
Stave R,1993,"18,19",25.69,"80,202",0
Stave R,1993,21,473.91,"763,500",0.1
Stave R,1993,29,"8,563.66","80,007",10.7
Stave R,1993,"3,4,5",218.03,"647,783",0
Stave R,1994,"12,13","14,199.41","1,267,961",1.1
Stave R,1994,14,88.58,"368,839",0
Stave R,1994,21,487.34,"826,210",0.1
Stave R,1994,29,"6,928.84","130,782",5.3
Stave R,1994,"3,4,5",66.2,"473,697",0
Stave R,1995,"12,13","2,532.96","259,087",1
Stave R,1995,14,61.17,"18,297",0.3
Stave R,1995,21,152.4,"209,202",0.1
Stave R,1995,29,"2,545.30","52,964",4.8
Stave R,1996,"12,13",149.81,"82,167",0.2
Stave R,1997,"12,13",642.62,"97,880",0.7
Stave R,1997,29,541.86,"20,770",2.6
Stave R,1998,"12,13","12,416.58","1,433,772",0.9
Stave R,1998,14,253.77,"562,617",0
Stave R,1998,21,178.91,"695,439",0
Stave R,1998,29,548.45,"18,951",2.9
Stave R,1999,"12,13",293.37,"40,321",0.7
Stave R,1999,29,"1,767.33","43,591",4.1
Stave R,2000,"12,13","6,146.94","179,650",3.4
Stave R,2000,29,588.04,"21,693",2.7
Stave R,2001,"12,13",334.89,"183,351",0.2
Stave R,2002,"12,13",371.07,"568,444",0.1
Sucwoa R,1992,"25,26","1,566.17","152,130",1
Sucwoa R,1993,"25,26",921.7,"117,096",0.8
Sucwoa R,1994,"25,26","13,270.02","197,947",6.7
Sucwoa R,1995,"25,26","2,529.99","27,784",9.1
Sucwoa R,1997,"25,26","6,821.92","89,072",7.7
Sucwoa R,1998,"25,26","12,543.02","101,722",12.3
Sucwoa R,1999,"25,26","3,506.36","104,245",3.4
Sucwoa R,2000,"25,26",888.54,"27,226",3.3
Sucwoa R,2001,"25,26","6,165.54","69,311",8.9
Sucwoa R,2003,"25,26","2,378.62","109,042",2.2
Theodosia Cr,2005,"12,13",22.87,"809,474",0
Theodosia Cr,2006,"12,13",239.55,"817,017",0
Theodosia Cr,2006,14,23.72,"83,920",0
Theodosia Cr,2006,29,165.7,"181,453",0.1
Theodosia Cr,2007,"12,13",45.52,"441,799",0
Theodosia Cr,2007,14,3.54,"25,412",0
Theodosia Cr,2007,29,18.34,"37,573",0
Thorsen Cr/CCST,1990,6,43.92,"153,292",0
Thorsen Cr/CCST,1990,"7,8,9","15,275.52","917,567",1.7
Thorsen Cr/CCST,1991,6,57.75,"50,747",0.1
Thorsen Cr/CCST,1991,"7,8,9","3,090.36","379,521",0.8
Thorsen Cr/CCST,1991,"8,9,10",66.1,,
Thorsen Cr/CCST,1992,"3,4,5",264.88,"240,412",0.1
Thorsen Cr/CCST,1992,"7,8,9","3,978.81","225,489",1.8
Thorsen Cr/CCST,1992,"9,10",389.15,,
Thorsen Cr/CCST,1993,"7,8,9","5,528.14","288,982",1.9
Thorsen Cr/CCST,1994,10,25.46,"19,178",0.1
Thorsen Cr/CCST,1994,6,106.11,"75,143",0.1
Thorsen Cr/CCST,1994,"7,8,9","8,044.93","694,489",1.2
Thorsen Cr/CCST,1994,"8,9,10",805.17,,
Thorsen Cr/CCST,1995,6,11.46,"27,811",0
Thorsen Cr/CCST,1995,"7,8,9","24,831.63","928,283",2.7
Thorsen Cr/CCST,1996,"2W,2E",62.41,"122,945",0.1
Thorsen Cr/CCST,1996,6,28.82,"29,748",0.1
Thorsen Cr/CCST,1996,"7,8,9","9,499.76","340,698",2.8
Thorsen Cr/CCST,1997,"7,8,9","10,838.79","290,439",3.7
Thorsen Cr/CCST,1998,1,4.64,"1,413",0.3
Thorsen Cr/CCST,1998,"2W,2E",38.16,"104,988",0
Thorsen Cr/CCST,1998,6,"1,368.27","438,019",0.3
Thorsen Cr/CCST,1998,"7,8,9","19,282.76","741,267",2.6
Thorsen Cr/CCST,1999,"3,4,5",250.21,"144,676",0.2
Thorsen Cr/CCST,1999,6,35.79,"37,124",0.1
Thorsen Cr/CCST,1999,"7,8,9","8,405.87","264,709",3.2
Thorsen Cr/CCST,2000,6,81.56,"15,477",0.5
Thorsen Cr/CCST,2000,"7,8,9","4,031.88","82,058",4.9
Thorsen Cr/CCST,2001,"2W,2E",16.02,"37,733",0
Thorsen Cr/CCST,2001,6,177.28,"56,419",0.3
Thorsen Cr/CCST,2001,"7,8,9","28,007.70","454,000",6.2
Thorsen Cr/CCST,2002,11,21.92,"1,489",1.5
Thorsen Cr/CCST,2002,"2W,2E",622.97,"95,909",0.6
Thorsen Cr/CCST,2002,6,198.55,"202,840",0.1
Thorsen Cr/CCST,2002,"7,8,9","22,957.43","574,650",4
Thorsen Cr/CCST,2003,"2W,2E",106.29,"5,941",1.8
Thorsen Cr/CCST,2003,"7,8,9","38,568.83","956,368",4
Thorsen Cr/CCST,2004,"7,8,9","69,368.79","1,235,642",5.6
Thorsen Cr/CCST,2005,"7,8,9","10,920.40","341,954",3.2
Thorsen Cr/CCST,2006,"7,8,9","24,967.52","380,476",6.6
Thorsen Cr/CCST,2007,"7,8,9","11,201.20","258,080",4.3
Thorsen Cr/CCST,2008,"7,8,9",178.07,"9,764",1.8
Thorsen Cr/CCST,2009,"7,8,9","1,529.38","44,177",3.5
Thorsen Cr/CCST,2011,"7,8,9","2,843.94","334,737",0.8
Thorsen Cr/CCST,2012,"7,8,9","18,530.80","326,239",5.7
Thorsen Cr/CCST,2013,"7,8,9","47,816.15","547,620",8.7
Thorsen Cr/CCST,2014,"7,8,9","5,979.70","229,560",2.6
Thorsen Cr/CCST,2015,"7,8,9","39,349.57","874,823",4.5
Thorsen Cr/CCST,2016,"7,8,9","27,672.38","475,253",5.8
Thorsen Cr/CCST,2017,"7,8,9","25,284.25","316,501",8
Thorsen Cr/CCST,2018,"7,8,9","30,173.69","452,439",6.7
Tlupana R,1992,"25,26","2,456.79","152,130",1.6
Tlupana R,1993,"25,26","3,022.55","117,096",2.6
Tlupana R,1994,"25,26","6,346.81","197,947",3.2
Tlupana R,1995,"25,26",858.34,"27,784",3.1
Tlupana R,1997,"25,26","2,535.62","89,072",2.8
Tlupana R,1998,"25,26","4,473.45","101,722",4.4
Tlupana R,1999,"25,26","7,358.30","104,245",7.1
Tlupana R,2000,"25,26","1,231.28","27,226",4.5
Tlupana R,2001,"25,26","1,941.64","69,311",2.8
Tlupana R,2003,"25,26","4,468.26","109,042",4.1
